subject_id,category,video_id,file_path,file_size_bytes,duration_seconds,fps,width,height,attire,time_of_recording,description,classes_raw,source_dataset,label
1,ADL,01,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\01.mp4,8013673,8.273533333333333,29.61249929494049,1280,720,Full T-shirt & Trousers,Day (Light On),Sitting on the bed to sleeping right side on the bed. Face towards camera,Sitting[0 to 1]; Sleeping[2 to 8],GMDCSA24,adl
1,ADL,02,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\02.mp4,6670980,6.689533333333333,29.598477223124682,1280,720,Full T-shirt & Trousers,Day (Light On),Sitting on the bed to sleeping left side on the bed. Face towards the camera,Sitting[0 to 0.5]; Sleeping[1.5 to 6],GMDCSA24,adl
1,ADL,03,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\03.mp4,6595428,6.689433333333334,29.74840918264128,1280,720,Full T-shirt & Trousers,Day (Light On),Sitting on the bed to sleeping left side on the bed. Face towards the ceiling,Sitting[0 to 0.5]; Sleeping[1 to 6],GMDCSA24,adl
1,ADL,04,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\04.mp4,5936086,5.8092999999999995,29.263422443323638,1280,720,Full T-shirt & Trousers,Day (Light On),From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed,Sitting[2.5 to 5]; Sleeping[0 to 1.5],GMDCSA24,adl
1,ADL,05,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\05.mp4,10369324,10.5456,29.775451373084508,1280,720,Full T-shirt & Trousers,Day (Light On),Coming to the bed and reading book in the sitting position. Front view of the subject. One leg folded,Reading[6 to 10]; Sitting[3 to 10]; Walking[1 to 3],GMDCSA24,adl
1,ADL,06,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\06.mp4,12423009,12.2255,29.773833381047808,1280,720,Full T-shirt & Trousers,Day (Light On),Sitting on the bed (front view) to reading the book while supporting towards the wall. Side view,Reading[3 to 12]; Sitting[0 to 2],GMDCSA24,adl
1,ADL,07,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\07.mp4,7736760,7.537233333333333,29.71912770822185,1280,720,Full T-shirt & Trousers,Day (Light On),Reading book while sitting on the chair; Front view;Leg straight,Reading[0 to 5.5]; Sitting[0 to 7],GMDCSA24,adl
1,ADL,08,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\08.mp4,6306776,6.289433333333333,29.73240832507433,1280,720,Full T-shirt & Trousers,Day (Light On),Walking in the room,Walking[0 to 6],GMDCSA24,adl
1,ADL,09,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\09.mp4,4833796,4.9936,29.43768023069529,1280,720,Full T-shirt & Trousers,Day (Light On),Reading book while walking in the room,Reading[0 to 4]; Walking[0 to 4],GMDCSA24,adl
1,ADL,10,datasets\raw\GMDCSA24\extracted\ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76\Subject 1\ADL\10.mp4,3847178,3.9212333333333333,29.32750750189141,1280,720,Full T-shirt & Trousers,Day (Light On),Reading book while walking in the room,Reading[0 to 2.5]; Walking[0 to 3],GMDCSA24,adl
